Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Kitche0bvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,YrSold
1,60.00,65.00,8450.00,7.00,5.00,2003.00,2003.00,196.00,706.00,0.00,150.00,856.00,856.00,854.00,0.00,1710.00,1.00,0.00,2.00,1.00,3.00,1.00,8.00,0.00,2003.00,2.00,548.00,0.00,61.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2008.00
2,20.00,80.00,9600.00,6.00,8.00,1976.00,1976.00,0.00,978.00,0.00,284.00,1262.00,1262.00,0.00,0.00,1262.00,0.00,1.00,2.00,0.00,3.00,1.00,6.00,1.00,1976.00,2.00,460.00,298.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2007.00
3,60.00,68.00,11250.00,7.00,5.00,2001.00,2002.00,162.00,486.00,0.00,434.00,920.00,920.00,866.00,0.00,1786.00,1.00,0.00,2.00,1.00,3.00,1.00,6.00,1.00,2001.00,2.00,608.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,2008.00
4,70.00,60.00,9550.00,7.00,5.00,1915.00,1970.00,0.00,216.00,0.00,540.00,756.00,961.00,756.00,0.00,1717.00,1.00,0.00,1.00,0.00,3.00,1.00,7.00,1.00,1998.00,3.00,642.00,0.00,35.00,272.00,0.00,0.00,0.00,0.00,0.00,2.00,2006.00
5,60.00,84.00,14260.00,8.00,5.00,2000.00,2000.00,350.00,655.00,0.00,490.00,1145.00,1145.00,1053.00,0.00,2198.00,1.00,0.00,2.00,1.00,4.00,1.00,9.00,1.00,2000.00,3.00,836.00,192.00,84.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,2008.00
6,50.00,85.00,14115.00,5.00,5.00,1993.00,1995.00,0.00,732.00,0.00,64.00,796.00,796.00,566.00,0.00,1362.00,1.00,0.00,1.00,1.00,1.00,1.00,5.00,0.00,1993.00,2.00,480.00,40.00,30.00,0.00,320.00,0.00,0.00,0.00,700.00,10.00,2009.00
7,20.00,75.00,10084.00,8.00,5.00,2004.00,2005.00,186.00,1369.00,0.00,317.00,1686.00,1694.00,0.00,0.00,1694.00,1.00,0.00,2.00,0.00,3.00,1.00,7.00,1.00,2004.00,2.00,636.00,255.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,2007.00
8,60.00,0.00,10382.00,7.00,6.00,1973.00,1973.00,240.00,859.00,32.00,216.00,1107.00,1107.00,983.00,0.00,2090.00,1.00,0.00,2.00,1.00,3.00,1.00,7.00,2.00,1973.00,2.00,484.00,235.00,204.00,228.00,0.00,0.00,0.00,0.00,350.00,11.00,2009.00
9,50.00,51.00,6120.00,7.00,5.00,1931.00,1950.00,0.00,0.00,0.00,952.00,952.00,1022.00,752.00,0.00,1774.00,0.00,0.00,2.00,0.00,2.00,2.00,8.00,2.00,1931.00,2.00,468.00,90.00,0.00,205.00,0.00,0.00,0.00,0.00,0.00,4.00,2008.00
10,190.00,50.00,7420.00,5.00,6.00,1939.00,1950.00,0.00,851.00,0.00,140.00,991.00,1077.00,0.00,0.00,1077.00,1.00,0.00,1.00,0.00,2.00,2.00,5.00,2.00,1939.00,1.00,205.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2008.00
11,20.00,70.00,11200.00,5.00,5.00,1965.00,1965.00,0.00,906.00,0.00,134.00,1040.00,1040.00,0.00,0.00,1040.00,1.00,0.00,1.00,0.00,3.00,1.00,5.00,0.00,1965.00,1.00,384.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2008.00
12,60.00,85.00,11924.00,9.00,5.00,2005.00,2006.00,286.00,998.00,0.00,177.00,1175.00,1182.00,1142.00,0.00,2324.00,1.00,0.00,3.00,0.00,4.00,1.00,11.00,2.00,2005.00,3.00,736.00,147.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,2006.00
13,20.00,0.00,12968.00,5.00,6.00,1962.00,1962.00,0.00,737.00,0.00,175.00,912.00,912.00,0.00,0.00,912.00,1.00,0.00,1.00,0.00,2.00,1.00,4.00,0.00,1962.00,1.00,352.00,140.00,0.00,0.00,0.00,176.00,0.00,0.00,0.00,9.00,2008.00
14,20.00,91.00,10652.00,7.00,5.00,2006.00,2007.00,306.00,0.00,0.00,1494.00,1494.00,1494.00,0.00,0.00,1494.00,0.00,0.00,2.00,0.00,3.00,1.00,7.00,1.00,2006.00,3.00,840.00,160.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,2007.00
15,20.00,0.00,10920.00,6.00,5.00,1960.00,1960.00,212.00,733.00,0.00,520.00,1253.00,1253.00,0.00,0.00,1253.00,1.00,0.00,1.00,1.00,2.00,1.00,5.00,1.00,1960.00,1.00,352.00,0.00,213.00,176.00,0.00,0.00,0.00,0.00,0.00,5.00,2008.00
16,45.00,51.00,6120.00,7.00,8.00,1929.00,2001.00,0.00,0.00,0.00,832.00,832.00,854.00,0.00,0.00,854.00,0.00,0.00,1.00,0.00,2.00,1.00,5.00,0.00,1991.00,2.00,576.00,48.00,112.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,2007.00
